"LOCATION","Country","CAT","Category","ACT","Activity","UNIT","Unit","VAR","Variable","SRC","Source","TIME","Time","Value","Flag Codes","Flags"
"FRA","France","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2004","2004",470900,,
"FRA","France","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2006","2006",470900,,
"FRA","France","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2008","2008",485400,,
"FRA","France","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2010","2010",465900,,
"FRA","France","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR10","Animal waste","SOURCE30","EUROSTAT","2010","2010",462100,,
"FRA","France","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2004","2004",438300,,
"FRA","France","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2006","2006",438300,,
"FRA","France","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2008","2008",451100,,
"FRA","France","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR517","Vegetable waste","SOURCE30","EUROSTAT","2010","2010",3800,,
"FRA","France","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2004","2004",8,,
"FRA","France","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2006","2006",7,,
"FRA","France","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2008","2008",8,,
"FRA","France","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2010","2010",7,,
"FRA","France","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR10","Animal waste","SOURCE30","EUROSTAT","2010","2010",7,,
"FRA","France","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2004","2004",7,,
"FRA","France","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2006","2006",7,,
"FRA","France","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2008","2008",7,,
"DEU","Germany","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2004","2004",293972,,
"DEU","Germany","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2006","2006",527991,,
"DEU","Germany","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2008","2008",486748,,
"DEU","Germany","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2010","2010",24400,,
"DEU","Germany","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR10","Animal waste","SOURCE30","EUROSTAT","2010","2010",12583,,
"DEU","Germany","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2004","2004",89,,
"DEU","Germany","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2006","2006",11220,,
"DEU","Germany","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2008","2008",1287,,
"DEU","Germany","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR517","Vegetable waste","SOURCE30","EUROSTAT","2010","2010",11817,,
"DEU","Germany","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2004","2004",4,,
"DEU","Germany","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2006","2006",6,,
"DEU","Germany","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2008","2008",6,,
