Area,Consumption Segment,Country,Measure Names,"Sector, Category or Product",Measure Values
National,Higher,Bangladesh,Local Currency,Food and Beverages,963.484170383
National,Middle,Bangladesh,US$,Food and Beverages,368.729228809
National,Middle,Bangladesh,$PPP,Food and Beverages,777.830270992
National,Middle,Bangladesh,Local Currency,Food and Beverages,25681.622057329
National,Lowest,Bangladesh,US$,Food and Beverages,23883.965433265
National,Lowest,Bangladesh,$PPP,Food and Beverages,50382.963578202
National,Lowest,Bangladesh,Local Currency,Food and Beverages,1663494.30846149
National,Low,Bangladesh,US$,Food and Beverages,7920.904650893
National,Low,Bangladesh,$PPP,Food and Beverages,16709.061635826
National,Low,Bangladesh,Local Currency,Food and Beverages,551683.088030079
National,All,Bangladesh,US$,Food and Beverages,32187.432737273
National,All,Bangladesh,$PPP,Food and Beverages,67899.036942130
National,All,Bangladesh,Local Currency,Food and Beverages,2241822.5027183
Rural,Higher,Bangladesh,US$,Food and Beverages,0
Rural,Higher,Bangladesh,$PPP,Food and Beverages,0
Rural,Higher,Bangladesh,Local Currency,Food and Beverages,0
Rural,Middle,Bangladesh,US$,Food and Beverages,63.266233810
Rural,Middle,Bangladesh,$PPP,Food and Beverages,133.459427527
Rural,Middle,Bangladesh,Local Currency,Food and Beverages,4406.429918648
Rural,Lowest,Bangladesh,US$,Food and Beverages,18136.531837463
Rural,Lowest,Bangladesh,$PPP,Food and Beverages,38258.815335963
Rural,Lowest,Bangladesh,Local Currency,Food and Beverages,1263191.30594749
Rural,Low,Bangladesh,US$,Food and Beverages,2738.628785905
Rural,Low,Bangladesh,$PPP,Food and Beverages,5777.107438880
Rural,Low,Bangladesh,Local Currency,Food and Beverages,190742.7563095
Rural,All,Bangladesh,US$,Food and Beverages,20938.426857168
Rural,All,Bangladesh,$PPP,Food and Beverages,44169.382202346
Rural,All,Bangladesh,Local Currency,Food and Beverages,1458340.49217486
Urban,Higher,Bangladesh,US$,Food and Beverages,13.833424319
Urban,Higher,Bangladesh,$PPP,Food and Beverages,29.181457140
Urban,Higher,Bangladesh,Local Currency,Food and Beverages,963.484170383
Urban,Middle,Bangladesh,US$,Food and Beverages,305.462995003
Urban,Middle,Bangladesh,$PPP,Food and Beverages,644.370843473
Urban,Middle,Bangladesh,Local Currency,Food and Beverages,21275.192138956
Urban,Lowest,Bangladesh,US$,Food and Beverages,5747.433595810
Urban,Lowest,Bangladesh,$PPP,Food and Beverages,12124.148242257
Urban,Lowest,Bangladesh,Local Currency,Food and Beverages,400303.002514584
Urban,Low,Bangladesh,US$,Food and Beverages,5182.275864995
Urban,Low,Bangladesh,$PPP,Food and Beverages,10931.954196961
Urban,Low,Bangladesh,Local Currency,Food and Beverages,360940.331721046
Urban,All,Bangladesh,US$,Food and Beverages,11249.005880113
Urban,All,Bangladesh,$PPP,Food and Beverages,23729.654739800
Urban,All,Bangladesh,Local Currency,Food and Beverages,783482.010543972
National,Higher,Belarus,US$,Food and Beverages,1454.403924451
National,Higher,Belarus,$PPP,Food and Beverages,3926.640905473
National,Higher,Belarus,Local Currency,Food and Beverages,4331956.63301769
National,Middle,Belarus,US$,Food and Beverages,5722.939979391
National,Middle,Belarus,$PPP,Food and Beverages,15450.955436001
National,Middle,Belarus,Local Currency,Food and Beverages,17045833.9580158
National,Lowest,Belarus,US$,Food and Beverages,4.322892796
National,Lowest,Belarus,$PPP,Food and Beverages,11.671068399
National,Lowest,Belarus,Local Currency,Food and Beverages,12875.779421072
National,Low,Belarus,US$,Food and Beverages,940.598946194
National,Low,Belarus,$PPP,Food and Beverages,2539.455673680
National,Low,Belarus,Local Currency,Food and Beverages,2801583.36722875
National,All,Belarus,US$,Food and Beverages,8122.265742832
National,All,Belarus,$PPP,Food and Beverages,21928.723083552
National,All,Belarus,Local Currency,Food and Beverages,24192249.737682
Rural,Higher,Belarus,US$,Food and Beverages,109.320082711
Rural,Higher,Belarus,$PPP,Food and Beverages,295.145455362
Rural,Higher,Belarus,Local Currency,Food and Beverages,325610.959555876
Rural,Middle,Belarus,US$,Food and Beverages,1172.970275438
Rural,Middle,Belarus,$PPP,Food and Beverages,3166.818369371
Rural,Middle,Belarus,Local Currency,Food and Beverages,3493703.69509474
Rural,Lowest,Belarus,US$,Food and Beverages,3.389770262
Rural,Lowest,Belarus,$PPP,Food and Beverages,9.151797756
Rural,Lowest,Belarus,Local Currency,Food and Beverages,10096.464623772
Rural,Low,Belarus,US$,Food and Beverages,383.359005302
Rural,Low,Belarus,$PPP,Food and Beverages,1035.003499643
Rural,Low,Belarus,Local Currency,Food and Beverages,1141838.63088298
Rural,All,Belarus,US$,Food and Beverages,1669.039133713
Rural,All,Belarus,$PPP,Food and Beverages,4506.119122131
Rural,All,Belarus,Local Currency,Food and Beverages,4971249.75015614
Urban,Higher,Belarus,US$,Food and Beverages,1345.083841740
Urban,Higher,Belarus,$PPP,Food and Beverages,3631.495450111
Urban,Higher,Belarus,Local Currency,Food and Beverages,4006345.67346213
Urban,Middle,Belarus,US$,Food and Beverages,4549.969703953
Urban,Middle,Belarus,$PPP,Food and Beverages,12284.137066630
Urban,Middle,Belarus,Local Currency,Food and Beverages,13552130.2629215
Urban,Lowest,Belarus,US$,Food and Beverages,0.933122534
Urban,Lowest,Belarus,$PPP,Food and Beverages,2.519270643
Urban,Lowest,Belarus,Local Currency,Food and Beverages,2779.314797838
Urban,Low,Belarus,US$,Food and Beverages,557.239940892
Urban,Low,Belarus,$PPP,Food and Beverages,1504.452174038
Urban,Low,Belarus,Local Currency,Food and Beverages,1659744.73634623
Urban,All,Belarus,US$,Food and Beverages,6453.226609119
Urban,All,Belarus,$PPP,Food and Beverages,17422.603961421
Urban,All,Belarus,Local Currency,Food and Beverages,19220999.9875263
National,Higher,Benin,US$,Food and Beverages,0
National,Higher,Benin,$PPP,Food and Beverages,0
National,Higher,Benin,Local Currency,Food and Beverages,0
National,Middle,Benin,US$,Food and Beverages,23.449082917
National,Middle,Benin,$PPP,Food and Beverages,39.729854851
National,Middle,Benin,Local Currency,Food and Beverages,11613.791440121
National,Lowest,Benin,US$,Food and Beverages,1404.331892005
National,Lowest,Benin,$PPP,Food and Beverages,2379.363936236
National,Lowest,Benin,Local Currency,Food and Beverages,695533.286476619
National,Low,Benin,US$,Food and Beverages,356.579445346
National,Low,Benin,$PPP,Food and Beverages,604.153674420
National,Low,Benin,Local Currency,Food and Beverages,176605.597952875
National,All,Benin,US$,Food and Beverages,1784.360420267
National,All,Benin,$PPP,Food and Beverages,3023.247465504
National,All,Benin,Local Currency,Food and Beverages,883752.675868688
Rural,Higher,Benin,US$,Food and Beverages,0
Rural,Higher,Benin,$PPP,Food and Beverages,0
Rural,Higher,Benin,Local Currency,Food and Beverages,0
Rural,Middle,Benin,US$,Food and Beverages,0
Rural,Middle,Benin,$PPP,Food and Beverages,0
Rural,Middle,Benin,Local Currency,Food and Beverages,0
Rural,Lowest,Benin,US$,Food and Beverages,798.327372786
Rural,Lowest,Benin,$PPP,Food and Beverages,1352.608575602
Rural,Lowest,Benin,Local Currency,Food and Beverages,395393.18621154
Rural,Low,Benin,US$,Food and Beverages,73.731365100
Rural,Low,Benin,$PPP,Food and Beverages,124.923283511
Rural,Low,Benin,Local Currency,Food and Beverages,36517.449312732
Rural,All,Benin,US$,Food and Beverages,872.058737885
Rural,All,Benin,$PPP,Food and Beverages,1477.531859112
Rural,All,Benin,Local Currency,Food and Beverages,431910.635523707
Urban,Higher,Benin,US$,Food and Beverages,0
Urban,Higher,Benin,$PPP,Food and Beverages,0
Urban,Higher,Benin,Local Currency,Food and Beverages,0
Urban,Middle,Benin,US$,Food and Beverages,23.449082917
Urban,Middle,Benin,$PPP,Food and Beverages,39.729854851
Urban,Middle,Benin,Local Currency,Food and Beverages,11613.791440121
Urban,Lowest,Benin,US$,Food and Beverages,606.004519220
Urban,Lowest,Benin,$PPP,Food and Beverages,1026.755360636
Urban,Lowest,Benin,Local Currency,Food and Beverages,300140.100265658
Urban,Low,Benin,US$,Food and Beverages,282.848080247
Urban,Low,Benin,$PPP,Food and Beverages,479.230390911
Urban,Low,Benin,Local Currency,Food and Beverages,140088.148640684
Urban,All,Benin,US$,Food and Beverages,912.301682383
Urban,All,Benin,$PPP,Food and Beverages,1545.715606394
Urban,All,Benin,Local Currency,Food and Beverages,451842.040345549
National,Higher,Bhutan,US$,Food and Beverages,3.299181976
National,Higher,Bhutan,$PPP,Food and Beverages,6.828025484
National,Higher,Bhutan,Local Currency,Food and Beverages,150.858395043
National,Middle,Bhutan,US$,Food and Beverages,44.133894019
National,Middle,Bhutan,$PPP,Food and Beverages,91.340021630
National,Middle,Bhutan,Local Currency,Food and Beverages,2018.066437892
National,Lowest,Bhutan,US$,Food and Beverages,73.584671658
National,Lowest,Bhutan,$PPP,Food and Beverages,152.291694408
National,Lowest,Bhutan,Local Currency,Food and Beverages,3364.732696256
National,Low,Bhutan,US$,Food and Beverages,147.989931277
National,Low,Bhutan,$PPP,Food and Beverages,306.281687227
National,Low,Bhutan,Local Currency,Food and Beverages,6766.987597586
National,All,Bhutan,US$,Food and Beverages,269.007678907
National,All,Bhutan,$PPP,Food and Beverages,556.741428700
National,All,Bhutan,Local Currency,Food and Beverages,12300.645125707
Rural,Higher,Bhutan,US$,Food and Beverages,0.398439494
Rural,Higher,Bhutan,$PPP,Food and Beverages,0.824615021
Rural,Higher,Bhutan,Local Currency,Food and Beverages,18.219044281
Rural,Middle,Bhutan,US$,Food and Beverages,5.960293439
